attempt,target,before_value,after_value,injection_time,detected_time,zabbix_lastclock,zabbix_lastns,reaction_api_sec,reaction_zabbix_clock_sec,status
1,55,45,55,2026-05-20 01:19:59.072,2026-05-20 01:20:01.148,1779244153,8684371,2.075,14953.936,ok
2,45,55,45,2026-05-20 01:20:04.417,2026-05-20 01:20:06.285,1779244158,215002915,1.868,14953.797,ok
3,55,45,55,2026-05-20 01:20:09.552,2026-05-20 01:20:11.458,1779244163,403046070,1.906,14953.851,ok
4,45,55,45,2026-05-20 01:20:14.688,2026-05-20 01:20:16.600,1779244167,592104262,1.912,14952.904,ok
5,55,45,55,2026-05-20 01:20:19.848,2026-05-20 01:20:21.829,1779244172,813726237,1.981,14952.965,ok
6,45,55,45,2026-05-20 01:20:25.113,2026-05-20 01:20:26.956,1779244176,953851741,1.843,14951.841,ok
7,55,45,55,2026-05-20 01:20:30.207,2026-05-20 01:20:32.094,1779244182,185821867,1.887,14951.978,ok
8,45,55,45,2026-05-20 01:20:35.392,2026-05-20 01:20:37.364,1779244186,358866995,1.973,14950.967,ok
9,55,45,55,2026-05-20 01:20:40.564,2026-05-20 01:20:42.462,1779244191,653809759,1.898,14951.089,ok
10,45,55,45,2026-05-20 01:20:45.718,2026-05-20 01:20:48.950,1779244196,864154145,3.232,14951.146,ok
11,55,45,55,2026-05-20 01:20:52.246,2026-05-20 01:20:54.104,1779244202,92645664,1.858,14949.847,ok
12,45,55,45,2026-05-20 01:20:57.329,2026-05-20 01:20:59.327,1779244207,291098999,1.998,14949.962,ok
13,55,45,55,2026-05-20 01:21:02.597,2026-05-20 01:21:05.728,1779244212,520951433,3.131,14949.923,ok
14,45,55,45,2026-05-20 01:21:08.969,2026-05-20 01:21:10.877,1779244217,737176261,1.908,14948.768,ok
15,55,45,55,2026-05-20 01:21:14.137,2026-05-20 01:21:16.007,1779244223,6350819,1.87,14948.869,ok
16,45,55,45,2026-05-20 01:21:19.263,2026-05-20 01:21:21.122,1779244227,172565845,1.859,14947.909,ok
17,55,45,55,2026-05-20 01:21:24.380,2026-05-20 01:21:26.271,1779244232,383286816,1.89,14948.003,ok
18,45,55,45,2026-05-20 01:21:29.502,2026-05-20 01:21:31.417,1779244236,590327099,1.915,14947.088,ok
19,55,45,55,2026-05-20 01:21:34.664,2026-05-20 01:21:36.602,1779244241,788157024,1.938,14947.123,ok
20,45,55,45,2026-05-20 01:21:39.918,2026-05-20 01:21:43.088,1779244247,15846188,3.17,14947.097,ok
21,55,45,55,2026-05-20 01:21:46.322,2026-05-20 01:21:48.366,1779244252,215828157,2.044,14945.894,ok
22,45,55,45,2026-05-20 01:21:51.622,2026-05-20 01:21:52.252,1779244256,392145384,0.63,14944.77,ok
23,55,45,55,2026-05-20 01:21:55.465,2026-05-20 01:21:57.390,1779244260,548380118,1.925,14945.083,ok
24,45,55,45,2026-05-20 01:22:00.614,2026-05-20 01:22:01.274,1779244264,716505895,0.66,14944.102,ok
25,55,45,55,2026-05-20 01:22:04.507,2026-05-20 01:22:06.407,1779244268,883426932,1.9,14944.376,ok
26,45,55,45,2026-05-20 01:22:09.677,2026-05-20 01:22:10.308,1779244273,51336048,0.631,14943.374,ok
27,55,45,55,2026-05-20 01:22:13.547,2026-05-20 01:22:15.381,1779244277,204018999,1.835,14943.657,ok
28,45,55,45,2026-05-20 01:22:18.609,2026-05-20 01:22:19.255,1779244281,368646686,0.645,14942.759,ok
29,55,45,55,2026-05-20 01:22:22.512,2026-05-20 01:22:24.399,1779244285,561118594,1.887,14943.049,ok
30,45,55,45,2026-05-20 01:22:27.652,2026-05-20 01:22:29.625,1779244289,731656795,1.973,14942.079,ok
